epoch, step, training_loss, eval_loss
0.05359056806002144, 500, 1.2972, N/A
0.05359056806002144, 500, N/A, 0.05410131812095642
0.10718113612004287, 1000, 0.0565, N/A
0.10718113612004287, 1000, N/A, 0.05269380658864975
0.1607717041800643, 1500, 0.0551, N/A
0.1607717041800643, 1500, N/A, 0.052186403423547745
0.21436227224008575, 2000, 0.0541, N/A
0.21436227224008575, 2000, N/A, 0.051609162241220474
0.2679528403001072, 2500, 0.0541, N/A
0.2679528403001072, 2500, N/A, 0.051219552755355835
0.3215434083601286, 3000, 0.0529, N/A
0.3215434083601286, 3000, N/A, 0.05116485059261322
0.37513397642015006, 3500, 0.0534, N/A
0.37513397642015006, 3500, N/A, 0.05083508417010307
0.4287245444801715, 4000, 0.0533, N/A
0.4287245444801715, 4000, N/A, 0.050701092928647995
0.48231511254019294, 4500, 0.0524, N/A
0.48231511254019294, 4500, N/A, 0.050538070499897
0.5359056806002144, 5000, 0.052, N/A
0.5359056806002144, 5000, N/A, 0.05047006532549858
0.5894962486602358, 5500, 0.0518, N/A
0.5894962486602358, 5500, N/A, 0.050293661653995514
0.6430868167202572, 6000, 0.0518, N/A
0.6430868167202572, 6000, N/A, 0.05027325823903084
0.6966773847802786, 6500, 0.0519, N/A
0.6966773847802786, 6500, N/A, 0.0501573383808136
0.7502679528403001, 7000, 0.0515, N/A
0.7502679528403001, 7000, N/A, 0.04991079866886139
0.8038585209003215, 7500, 0.0516, N/A
0.8038585209003215, 7500, N/A, 0.04986891150474548
0.857449088960343, 8000, 0.051, N/A
0.857449088960343, 8000, N/A, 0.04975535348057747
0.9110396570203644, 8500, 0.0511, N/A
0.9110396570203644, 8500, N/A, 0.04972173646092415
0.9646302250803859, 9000, 0.0504, N/A
0.9646302250803859, 9000, N/A, 0.04967663809657097
1.0182207931404073, 9500, 0.0498, N/A
1.0182207931404073, 9500, N/A, 0.04962920770049095
1.0718113612004287, 10000, 0.0487, N/A
1.0718113612004287, 10000, N/A, 0.0496143139898777
1.1254019292604502, 10500, 0.0479, N/A
1.1254019292604502, 10500, N/A, 0.049663446843624115
1.1789924973204715, 11000, 0.0478, N/A
1.1789924973204715, 11000, N/A, 0.04953004792332649
1.232583065380493, 11500, 0.0483, N/A
1.232583065380493, 11500, N/A, 0.049469660967588425
1.2861736334405145, 12000, 0.0477, N/A
1.2861736334405145, 12000, N/A, 0.04945490136742592
1.339764201500536, 12500, 0.0478, N/A
1.339764201500536, 12500, N/A, 0.04941719025373459
1.3933547695605573, 13000, 0.0473, N/A
1.3933547695605573, 13000, N/A, 0.049384813755750656
1.4469453376205788, 13500, 0.0474, N/A
1.4469453376205788, 13500, N/A, 0.04943074285984039
1.5005359056806002, 14000, 0.0477, N/A
1.5005359056806002, 14000, N/A, 0.049247149378061295
1.5541264737406215, 14500, 0.0474, N/A
1.5541264737406215, 14500, N/A, 0.04936452955007553
1.607717041800643, 15000, 0.0471, N/A
1.607717041800643, 15000, N/A, 0.04933319240808487
1.6613076098606645, 15500, 0.0473, N/A
1.6613076098606645, 15500, N/A, 0.049105916172266006
1.714898177920686, 16000, 0.0475, N/A
1.714898177920686, 16000, N/A, 0.04915003851056099
1.7684887459807075, 16500, 0.0479, N/A
1.7684887459807075, 16500, N/A, 0.04907887428998947
1.822079314040729, 17000, 0.0473, N/A
1.822079314040729, 17000, N/A, 0.0490131676197052
1.8756698821007503, 17500, 0.0466, N/A
1.8756698821007503, 17500, N/A, 0.0490260012447834
1.9292604501607717, 18000, 0.0463, N/A
1.9292604501607717, 18000, N/A, 0.048932552337646484
1.982851018220793, 18500, 0.0475, N/A
1.982851018220793, 18500, N/A, 0.04883963614702225
2.0364415862808145, 19000, 0.0457, N/A
2.0364415862808145, 19000, N/A, 0.04897784814238548
2.090032154340836, 19500, 0.0451, N/A
2.090032154340836, 19500, N/A, 0.049038369208574295
2.1436227224008575, 20000, 0.0454, N/A
2.1436227224008575, 20000, N/A, 0.048900850117206573
2.197213290460879, 20500, 0.0443, N/A
2.197213290460879, 20500, N/A, 0.049028001725673676
2.2508038585209005, 21000, 0.0449, N/A
2.2508038585209005, 21000, N/A, 0.048927124589681625
2.304394426580922, 21500, 0.0451, N/A
2.304394426580922, 21500, N/A, 0.048780813813209534
2.357984994640943, 22000, 0.0452, N/A
2.357984994640943, 22000, N/A, 0.04891673102974892
2.4115755627009645, 22500, 0.0451, N/A
2.4115755627009645, 22500, N/A, 0.04888564348220825
2.465166130760986, 23000, 0.0447, N/A
2.465166130760986, 23000, N/A, 0.048863835632801056
2.5187566988210075, 23500, 0.0446, N/A
2.5187566988210075, 23500, N/A, 0.04879911616444588
2.572347266881029, 24000, 0.0447, N/A
2.572347266881029, 24000, N/A, 0.04878976196050644
2.6259378349410505, 24500, 0.0451, N/A
2.6259378349410505, 24500, N/A, 0.04875512048602104
2.679528403001072, 25000, 0.0453, N/A
2.679528403001072, 25000, N/A, 0.048765264451503754
2.733118971061093, 25500, 0.0445, N/A
2.733118971061093, 25500, N/A, 0.04868248105049133
2.7867095391211145, 26000, 0.0453, N/A
2.7867095391211145, 26000, N/A, 0.04865327849984169
2.840300107181136, 26500, 0.0448, N/A
2.840300107181136, 26500, N/A, 0.04873622953891754
2.8938906752411575, 27000, 0.0449, N/A
2.8938906752411575, 27000, N/A, 0.04869617149233818
2.947481243301179, 27500, 0.0449, N/A
2.947481243301179, 27500, N/A, 0.04868637025356293
